Name,Age,Email,Phone,Discipline,Highest Qualification,Work Experience,Research Works
Tejas Roy,32,naiduchatresh@example.net,1628288189,Atmospheric Science,PhD in Atmospheric Science; Master's Degree in Meteorology,7 years at Indian Meteorological Department,Climate Modeling; Meteorology; Environmental Science
Lucky Kala,42,kahuja@example.org,+912324153181,Electronics & Communication Engineering,PhD in Electronics & Communication Engineering; Master's Degree in Electronics Engineering,3 years at a leading telecommunications company,Advanced Communication Systems; Microwave Engineering; Signal Processing Techniques
Falak Walla,48,gagantrivedi@example.org,03414748716,Physical Oceanography,PhD in Physical Oceanography; Master's Degree in Marine Science,4 years in marine consulting,Ocean Currents; Marine Ecosystems; Coastal Engineering
Reva Mahal,68,advaith79@example.net,02358800963,Chemical Engineering,PhD in Chemical Engineering; Master's Degree in Chemical Technology,3 years in the polymer industry,Chemical Process Engineering; Polymer Technology; Catalysis and Reaction Engineering
Mitesh Bhasin,68,sameshbhalla@example.net,03823525075,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,5 years at TCS,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Varenya Ramesh,33,bakshicaleb@example.org,02415811083,Material Science,PhD in Material Science; Master's Degree in Nanotechnology,5 years in the semiconductor industry,Nanomaterials; Composite Materials; Metallurgy
Elijah Dar,35,balabalendra@example.org,+918326750154,Chemical Engineering,PhD in Chemical Engineering; Master's Degree in Chemical Technology,3 years in the polymer industry,Chemical Process Engineering; Polymer Technology; Catalysis and Reaction Engineering
Ethan Sagar,33,abdulpradhan@example.com,07505752015,Mechanical Engineering,PhD in Mechanical Engineering; Master's Degree in Mechatronics,4 years at Hindustan Aeronautics Limited,Thermodynamics; Mechanical Design Optimization; Robotics and Automation
Lucky Singh,61,fitannadkarni@example.com,3214607012,Geology,PhD in Geology; Master's Degree in Applied Geology,5 years at ONGC,Petroleum Geology; Mineralogy; Geotechnical Engineering
Avi Yadav,57,udasgupta@example.net,00174989690,Instrumentation Engineering,PhD in Instrumentation Engineering; Master's Degree in Control Systems,5 years at Bharat Heavy Electricals Limited,Control Systems; Instrumentation and Measurement; Process Automation
Hemal Bandi,68,falak46@example.org,+914321976418,Material Science,PhD in Material Science; Master's Degree in Nanotechnology,4 years at Tata Steel,Nanomaterials; Composite Materials; Metallurgy
Zayyan Dora,61,khalsamitesh@example.net,2421518828,Ceramic Engineering,PhD in Ceramic Engineering; Master's Degree in Material Science,5 years at a leading ceramics manufacturer,Ceramic Materials; High-Temperature Materials; Glass Science
Abha Nagarajan,34,tahluwalia@example.org,+912583342326,Electrical Engineering,PhD in Electrical Engineering; Master's Degree in Power Systems,5 years at Siemens,Power Electronics; Renewable Energy Systems; Smart Grids
Chakradhar Keer,35,battaadya@example.com,+914019780913,Psychology,PhD in Psychology; Master's Degree in Clinical Psychology,7 years at DRDO in cognitive psychology research,Cognitive Behavioral Therapy; Military Psychology; Human Factors Engineering
Hemani Ben,67,jagdishtank@example.org,09125832927,Electronics & Communication Engineering,PhD in Electronics & Communication Engineering; Master's Degree in Electronics Engineering,10 years at DRDO,Advanced Communication Systems; Microwave Engineering; Signal Processing Techniques
Priya Magar,57,baliojas@example.com,+914359887945,Electrical Engineering,PhD in Electrical Engineering; Master's Degree in Power Systems,6 years at DRDO,Power Electronics; Renewable Energy Systems; Smart Grids
Warjas Lalla,39,shankarkalpit@example.net,08879631538,Geology,PhD in Geology; Master's Degree in Applied Geology,9 years at Geological Survey of India,Petroleum Geology; Mineralogy; Geotechnical Engineering
Aashi Salvi,36,jalsavohra@example.net,8526568046,Electronics & Communication Engineering,PhD in Electronics & Communication Engineering; Master's Degree in Electronics Engineering,3 years at a leading telecommunications company,Advanced Communication Systems; Microwave Engineering; Signal Processing Techniques
Watika Rastogi,34,vivaannaidu@example.org,05405119901,Automobile Engineering,PhD in Automobile Engineering; Master's Degree in Automotive Design,7 years at DRDO,Automotive Design; Vehicle Dynamics; Internal Combustion Engines
Tara Sami,30,fkant@example.net,4724679861,Atmospheric Science,PhD in Atmospheric Science; Master's Degree in Meteorology,4 years in environmental consulting,Climate Modeling; Meteorology; Environmental Science
Riya Ravi,62,mchowdhury@example.net,00267078144,Atmospheric Science,PhD in Atmospheric Science; Master's Degree in Meteorology,7 years at Indian Meteorological Department,Climate Modeling; Meteorology; Environmental Science
Patrick Oommen,34,bloyal@example.net,01267023214,Physics,PhD in Physics; Master's Degree in Applied Physics,5 years at Bhabha Atomic Research Centre,Solid State Physics; Quantum Mechanics; Nanotechnology
Sneha Manda,68,shivansh26@example.net,5517808414,Polymer Science,PhD in Polymer Science; Master's Degree in Chemical Engineering,8 years at DRDO,Polymer Synthesis; Biodegradable Polymers; Polymer Blends and Composites
Neha Bhat,61,luckypant@example.net,+919477802140,Chemical Engineering,PhD in Chemical Engineering; Master's Degree in Chemical Technology,3 years in the polymer industry,Chemical Process Engineering; Polymer Technology; Catalysis and Reaction Engineering
Kiaan Seshadri,34,joshizayyan@example.org,1220772196,Polymer Science,PhD in Polymer Science; Master's Degree in Chemical Engineering,5 years in polymer research,Polymer Synthesis; Biodegradable Polymers; Polymer Blends and Composites
Michael Choudhary,50,sinhaaarush@example.com,09160564866,Geology,PhD in Geology; Master's Degree in Applied Geology,4 years at DRDO in geotechnical engineering,Petroleum Geology; Mineralogy; Geotechnical Engineering
Gaurangi Kashyap,59,sahniaadi@example.com,+918253726600,Geology,PhD in Geology; Master's Degree in Applied Geology,9 years at Geological Survey of India,Petroleum Geology; Mineralogy; Geotechnical Engineering
Banjeet Bhat,70,ekavir36@example.net,+911388459067,Mechanical Engineering,PhD in Mechanical Engineering; Master's Degree in Mechatronics,5 years in automotive industry,Thermodynamics; Mechanical Design Optimization; Robotics and Automation
Nidra Devan,44,walieiravati@example.org,+919583700519,Chemistry,PhD in Chemistry; Master's Degree in Organic Chemistry,4 years at Indian Oil Corporation,Organic Synthesis; Analytical Chemistry; Polymer Chemistry
Victor Lal,41,gauravlalla@example.com,7733132188,Automobile Engineering,PhD in Automobile Engineering; Master's Degree in Automotive Design,4 years at Maruti Suzuki,Automotive Design; Vehicle Dynamics; Internal Combustion Engines
Ethan Nagarajan,36,nathjatin@example.com,1039879168,Atmospheric Science,PhD in Atmospheric Science; Master's Degree in Meteorology,7 years at Indian Meteorological Department,Climate Modeling; Meteorology; Environmental Science
Chaitaly Borah,33,tankqasim@example.org,+916114065584,Material Science,PhD in Material Science; Master's Degree in Nanotechnology,5 years in the semiconductor industry,Nanomaterials; Composite Materials; Metallurgy
Krish Chaudhry,44,mthakkar@example.net,2294989538,Electronics & Communication Engineering,PhD in Electronics & Communication Engineering; Master's Degree in Electronics Engineering,5 years at Bharat Electronics Limited,Advanced Communication Systems; Microwave Engineering; Signal Processing Techniques
Rudra Hayer,68,singhalgopal@example.net,05490817134,Automobile Engineering,PhD in Automobile Engineering; Master's Degree in Automotive Design,5 years at Tata Motors,Automotive Design; Vehicle Dynamics; Internal Combustion Engines
Jatin Subramaniam,42,umitter@example.org,08315603113,Physics,PhD in Physics; Master's Degree in Applied Physics,7 years at DRDO in material science,Solid State Physics; Quantum Mechanics; Nanotechnology
Qabil Sen,70,ira44@example.org,3514810396,Chemistry,PhD in Chemistry; Master's Degree in Organic Chemistry,4 years at Indian Oil Corporation,Organic Synthesis; Analytical Chemistry; Polymer Chemistry
Nitesh Mannan,64,girishmukhopadhyay@example.com,+911982956118,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,5 years at TCS,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Pushti Chokshi,44,aayushminhas@example.com,7656280850,Chemistry,PhD in Chemistry; Master's Degree in Organic Chemistry,8 years at DRDO,Organic Synthesis; Analytical Chemistry; Polymer Chemistry
Michael Lanka,51,darsh38@example.net,09367931682,Ceramic Engineering,PhD in Ceramic Engineering; Master's Degree in Material Science,4 years in the glass industry,Ceramic Materials; High-Temperature Materials; Glass Science
Nathaniel Kant,32,aachalsetty@example.com,+914236148454,Material Science,PhD in Material Science; Master's Degree in Nanotechnology,7 years at DRDO,Nanomaterials; Composite Materials; Metallurgy
Watika Garg,51,badamiyuvraj@example.org,+910072151246,Chemical Engineering,PhD in Chemical Engineering; Master's Degree in Chemical Technology,4 years at Indian Oil Corporation,Chemical Process Engineering; Polymer Technology; Catalysis and Reaction Engineering
Aahana Goyal,50,wazir51@example.org,2340796088,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,7 years at Infosys,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Faras Bumb,50,lswamy@example.com,8360983075,Mathematics,PhD in Mathematics; Master's Degree in Applied Mathematics,4 years in data science,Mathematical Modelling; Cryptography; Applied Statistics
Harita Kapoor,45,dugartanish@example.net,+912849894569,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,7 years at Infosys,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Girish Chahal,39,uhayre@example.net,3828992521,Aeronautical Engineering,PhD in Aeronautical Engineering; Master's Degree in Aerospace Engineering,3 years at Boeing,Aerodynamics; Aircraft Design; Aerospace Propulsion
Peter Shroff,51,sahahemangini@example.net,3286178816,Geology,PhD in Geology; Master's Degree in Applied Geology,4 years at DRDO in geotechnical engineering,Petroleum Geology; Mineralogy; Geotechnical Engineering
Chaitanya Bhargava,31,palanjeremiah@example.net,+910134451052,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,4 years at DRDO in AI and cybersecurity,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Lajita Bhatt,37,brijeshdhar@example.net,06942939535,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,4 years at DRDO in AI and cybersecurity,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Radhika Savant,55,tbasu@example.net,4785724978,Electronics & Communication Engineering,PhD in Electronics & Communication Engineering; Master's Degree in Electronics Engineering,3 years at a leading telecommunications company,Advanced Communication Systems; Microwave Engineering; Signal Processing Techniques
Mahika Bahri,45,mdevan@example.net,00750913358,Atmospheric Science,PhD in Atmospheric Science; Master's Degree in Meteorology,7 years at Indian Meteorological Department,Climate Modeling; Meteorology; Environmental Science
Thomas Kothari,31,damini74@example.com,4380039549,Material Science,PhD in Material Science; Master's Degree in Nanotechnology,7 years at DRDO,Nanomaterials; Composite Materials; Metallurgy
Elijah Pandit,56,snehakashyap@example.com,7472089434,Psychology,PhD in Psychology; Master's Degree in Clinical Psychology,5 years in military psychology,Cognitive Behavioral Therapy; Military Psychology; Human Factors Engineering
Prisha Khare,33,vcherian@example.net,0406257688,Atmospheric Science,PhD in Atmospheric Science; Master's Degree in Meteorology,5 years at DRDO in climate modeling,Climate Modeling; Meteorology; Environmental Science
Harsh Ratta,47,basakjasmit@example.net,02328366001,Electronics & Communication Engineering,PhD in Electronics & Communication Engineering; Master's Degree in Electronics Engineering,3 years at a leading telecommunications company,Advanced Communication Systems; Microwave Engineering; Signal Processing Techniques
Bishakha Sura,61,ibhargava@example.com,05519797078,Automobile Engineering,PhD in Automobile Engineering; Master's Degree in Automotive Design,7 years at DRDO,Automotive Design; Vehicle Dynamics; Internal Combustion Engines
Falak Dara,40,mmohanty@example.net,+912975266900,Mathematics,PhD in Mathematics; Master's Degree in Applied Mathematics,6 years as a professor in IIT,Mathematical Modelling; Cryptography; Applied Statistics
Neel Dewan,38,janaki38@example.net,7508284740,Psychology,PhD in Psychology; Master's Degree in Clinical Psychology,7 years at DRDO in cognitive psychology research,Cognitive Behavioral Therapy; Military Psychology; Human Factors Engineering
Wridesh Singhal,39,wardasengupta@example.com,+911368450655,Electrical Engineering,PhD in Electrical Engineering; Master's Degree in Power Systems,5 years at Siemens,Power Electronics; Renewable Energy Systems; Smart Grids
Gopal Contractor,62,bahadurjitnaidu@example.org,6107793297,Physical Oceanography,PhD in Physical Oceanography; Master's Degree in Marine Science,4 years in marine consulting,Ocean Currents; Marine Ecosystems; Coastal Engineering
Vasatika Shah,35,ltara@example.net,6807022527,Physical Oceanography,PhD in Physical Oceanography; Master's Degree in Marine Science,5 years at DRDO in oceanography research,Ocean Currents; Marine Ecosystems; Coastal Engineering
Fiyaz Kata,41,kalaadweta@example.org,+915483838406,Mathematics,PhD in Mathematics; Master's Degree in Applied Mathematics,4 years in data science,Mathematical Modelling; Cryptography; Applied Statistics
Jackson Tara,30,damyanti36@example.org,+915720735341,Polymer Science,PhD in Polymer Science; Master's Degree in Chemical Engineering,8 years at DRDO,Polymer Synthesis; Biodegradable Polymers; Polymer Blends and Composites
Qadim Vig,38,nsanghvi@example.com,+916143753399,Aeronautical Engineering,PhD in Aeronautical Engineering; Master's Degree in Aerospace Engineering,3 years at Boeing,Aerodynamics; Aircraft Design; Aerospace Propulsion
Triya Varghese,68,harish30@example.com,02246969236,Material Science,PhD in Material Science; Master's Degree in Nanotechnology,7 years at DRDO,Nanomaterials; Composite Materials; Metallurgy
Wahab Panchal,48,aarinishroff@example.org,4014253430,Chemistry,PhD in Chemistry; Master's Degree in Organic Chemistry,5 years in pharmaceutical research,Organic Synthesis; Analytical Chemistry; Polymer Chemistry
Divya Grewal,35,lakshitsaxena@example.net,+910153926251,Polymer Science,PhD in Polymer Science; Master's Degree in Chemical Engineering,8 years at DRDO,Polymer Synthesis; Biodegradable Polymers; Polymer Blends and Composites
Nakul Bobal,50,vasaishwar@example.com,09843445716,Instrumentation Engineering,PhD in Instrumentation Engineering; Master's Degree in Control Systems,5 years at Bharat Heavy Electricals Limited,Control Systems; Instrumentation and Measurement; Process Automation
Anita Doshi,38,tanay17@example.org,+910666159826,Physics,PhD in Physics; Master's Degree in Applied Physics,5 years at Bhabha Atomic Research Centre,Solid State Physics; Quantum Mechanics; Nanotechnology
Yashica Chaudhary,31,vermazashil@example.com,+914161836082,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,4 years at DRDO in AI and cybersecurity,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Diya Ranganathan,50,gaurav49@example.com,+919646769271,Physical Oceanography,PhD in Physical Oceanography; Master's Degree in Marine Science,8 years at National Institute of Oceanography,Ocean Currents; Marine Ecosystems; Coastal Engineering
Shivansh Shukla,61,gsachdeva@example.com,+915908644771,Mechanical Engineering,PhD in Mechanical Engineering; Master's Degree in Mechatronics,8 years at DRDO,Thermodynamics; Mechanical Design Optimization; Robotics and Automation
Chanchal Chanda,63,ravaludant@example.com,01946893312,Physics,PhD in Physics; Master's Degree in Applied Physics,7 years at DRDO in material science,Solid State Physics; Quantum Mechanics; Nanotechnology
Gaurangi Khanna,32,jkonda@example.org,+915985393137,Polymer Science,PhD in Polymer Science; Master's Degree in Chemical Engineering,5 years in polymer research,Polymer Synthesis; Biodegradable Polymers; Polymer Blends and Composites
Vidhi Nayak,68,rsule@example.com,6999989548,Mathematics,PhD in Mathematics; Master's Degree in Applied Mathematics,6 years as a professor in IIT,Mathematical Modelling; Cryptography; Applied Statistics
Advik Ahuja,52,radhikadeo@example.net,09192652903,Electrical Engineering,PhD in Electrical Engineering; Master's Degree in Power Systems,5 years at Siemens,Power Electronics; Renewable Energy Systems; Smart Grids
Saanvi More,56,hritik45@example.com,09587420249,Ceramic Engineering,PhD in Ceramic Engineering; Master's Degree in Material Science,8 years at DRDO in materials research,Ceramic Materials; High-Temperature Materials; Glass Science
Lavanya Suri,33,krishnanpatrick@example.org,+911455114049,Psychology,PhD in Psychology; Master's Degree in Clinical Psychology,5 years in military psychology,Cognitive Behavioral Therapy; Military Psychology; Human Factors Engineering
Ojas Salvi,53,dkumar@example.net,+910043799044,Automobile Engineering,PhD in Automobile Engineering; Master's Degree in Automotive Design,5 years at Tata Motors,Automotive Design; Vehicle Dynamics; Internal Combustion Engines
Avni Mutti,33,sahaeshana@example.org,08532927270,Polymer Science,PhD in Polymer Science; Master's Degree in Chemical Engineering,8 years at DRDO,Polymer Synthesis; Biodegradable Polymers; Polymer Blends and Composites
Anjali Nath,51,chanakyasubramaniam@example.com,03244157344,Mechanical Engineering,PhD in Mechanical Engineering; Master's Degree in Mechatronics,4 years at Hindustan Aeronautics Limited,Thermodynamics; Mechanical Design Optimization; Robotics and Automation
Aarna Mandal,48,yashodhara89@example.net,06088687706,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,5 years at TCS,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Hemal Mann,41,vritti87@example.org,02314165491,Electrical Engineering,PhD in Electrical Engineering; Master's Degree in Power Systems,6 years at DRDO,Power Electronics; Renewable Energy Systems; Smart Grids
Shaurya Shere,50,anitasekhon@example.net,+914488548290,Ceramic Engineering,PhD in Ceramic Engineering; Master's Degree in Material Science,4 years in the glass industry,Ceramic Materials; High-Temperature Materials; Glass Science
Zinal Virk,40,hemangini69@example.net,6277088825,Physical Oceanography,PhD in Physical Oceanography; Master's Degree in Marine Science,5 years at DRDO in oceanography research,Ocean Currents; Marine Ecosystems; Coastal Engineering
Charan Raman,34,benjaminsamra@example.com,+915502519538,Mechanical Engineering,PhD in Mechanical Engineering; Master's Degree in Mechatronics,5 years in automotive industry,Thermodynamics; Mechanical Design Optimization; Robotics and Automation
Yash Wadhwa,40,gswaminathan@example.org,09648656737,Instrumentation Engineering,PhD in Instrumentation Engineering; Master's Degree in Control Systems,5 years at Bharat Heavy Electricals Limited,Control Systems; Instrumentation and Measurement; Process Automation
Vinaya Tella,60,sarnavrishti@example.com,+919798150457,Mechanical Engineering,PhD in Mechanical Engineering; Master's Degree in Mechatronics,4 years at Hindustan Aeronautics Limited,Thermodynamics; Mechanical Design Optimization; Robotics and Automation
Daksha Dubey,55,oakhema@example.org,+916263556178,Psychology,PhD in Psychology; Master's Degree in Clinical Psychology,4 years as a clinical psychologist,Cognitive Behavioral Therapy; Military Psychology; Human Factors Engineering
Nathan Bhatt,36,vbawa@example.net,+915473801559,Ceramic Engineering,PhD in Ceramic Engineering; Master's Degree in Material Science,5 years at a leading ceramics manufacturer,Ceramic Materials; High-Temperature Materials; Glass Science
Baghyawati Natarajan,57,mallickekbal@example.net,2658879652,Electronics & Communication Engineering,PhD in Electronics & Communication Engineering; Master's Degree in Electronics Engineering,3 years at a leading telecommunications company,Advanced Communication Systems; Microwave Engineering; Signal Processing Techniques
Arya Madan,49,evenkatesh@example.org,+914918139933,Ceramic Engineering,PhD in Ceramic Engineering; Master's Degree in Material Science,8 years at DRDO in materials research,Ceramic Materials; High-Temperature Materials; Glass Science
Vanya Gill,64,jagrati18@example.com,04790348407,Chemistry,PhD in Chemistry; Master's Degree in Organic Chemistry,4 years at Indian Oil Corporation,Organic Synthesis; Analytical Chemistry; Polymer Chemistry
Vidhi Mann,69,chakradhar78@example.net,1401336436,Physical Oceanography,PhD in Physical Oceanography; Master's Degree in Marine Science,5 years at DRDO in oceanography research,Ocean Currents; Marine Ecosystems; Coastal Engineering
Hritik Warrior,33,xitivala@example.com,+914732781665,Automobile Engineering,PhD in Automobile Engineering; Master's Degree in Automotive Design,7 years at DRDO,Automotive Design; Vehicle Dynamics; Internal Combustion Engines
Om Pathak,46,ekarpe@example.org,4769760919,Electrical Engineering,PhD in Electrical Engineering; Master's Degree in Power Systems,6 years at DRDO,Power Electronics; Renewable Energy Systems; Smart Grids
Azaan Saraf,68,gnarasimhan@example.com,+917375604504,Chemical Engineering,PhD in Chemical Engineering; Master's Degree in Chemical Technology,3 years in the polymer industry,Chemical Process Engineering; Polymer Technology; Catalysis and Reaction Engineering
Banjeet Pandit,31,muttimitali@example.net,08040350750,Instrumentation Engineering,PhD in Instrumentation Engineering; Master's Degree in Control Systems,4 years in automation industry,Control Systems; Instrumentation and Measurement; Process Automation
Nihal Prakash,38,jack74@example.org,01278333095,Psychology,PhD in Psychology; Master's Degree in Clinical Psychology,5 years in military psychology,Cognitive Behavioral Therapy; Military Psychology; Human Factors Engineering
Karan Sharaf,68,prishachhabra@example.net,05250746611,Atmospheric Science,PhD in Atmospheric Science; Master's Degree in Meteorology,5 years at DRDO in climate modeling,Climate Modeling; Meteorology; Environmental Science
Nicholas Chanda,34,chanakya63@example.com,+918743737819,Ceramic Engineering,PhD in Ceramic Engineering; Master's Degree in Material Science,4 years in the glass industry,Ceramic Materials; High-Temperature Materials; Glass Science
Ekantika Virk,55,shravyaram@example.com,2780129650,Mathematics,PhD in Mathematics; Master's Degree in Applied Mathematics,5 years at DRDO in cryptography,Mathematical Modelling; Cryptography; Applied Statistics
Reva Balakrishnan,62,balmadhav@example.com,04155460007,Polymer Science,PhD in Polymer Science; Master's Degree in Chemical Engineering,8 years at DRDO,Polymer Synthesis; Biodegradable Polymers; Polymer Blends and Composites
Amara Pall,34,sanerobert@example.org,9977609382,Aeronautical Engineering,PhD in Aeronautical Engineering; Master's Degree in Aerospace Engineering,6 years at Hindustan Aeronautics Limited,Aerodynamics; Aircraft Design; Aerospace Propulsion
Qabil Ramakrishnan,59,nimratchaudry@example.net,1614899352,Aeronautical Engineering,PhD in Aeronautical Engineering; Master's Degree in Aerospace Engineering,3 years at Boeing,Aerodynamics; Aircraft Design; Aerospace Propulsion
Jatin Swaminathan,42,zrao@example.org,7671354176,Automobile Engineering,PhD in Automobile Engineering; Master's Degree in Automotive Design,5 years at Tata Motors,Automotive Design; Vehicle Dynamics; Internal Combustion Engines
Kiaan Chakraborty,32,halderchanchal@example.com,+915072108761,Mechanical Engineering,PhD in Mechanical Engineering; Master's Degree in Mechatronics,5 years in automotive industry,Thermodynamics; Mechanical Design Optimization; Robotics and Automation
Megha Konda,54,manthan96@example.com,8918437430,Automobile Engineering,PhD in Automobile Engineering; Master's Degree in Automotive Design,7 years at DRDO,Automotive Design; Vehicle Dynamics; Internal Combustion Engines
Damyanti Barad,32,annesamesh@example.org,01085918434,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,5 years at TCS,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Owen Badal,49,chandran94@example.com,+911926733713,Instrumentation Engineering,PhD in Instrumentation Engineering; Master's Degree in Control Systems,4 years in automation industry,Control Systems; Instrumentation and Measurement; Process Automation
Ekapad Madan,30,iluthra@example.net,6566406193,Mathematics,PhD in Mathematics; Master's Degree in Applied Mathematics,5 years at DRDO in cryptography,Mathematical Modelling; Cryptography; Applied Statistics
Ranveer Chakraborty,40,zdubey@example.com,+911165732658,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,4 years at DRDO in AI and cybersecurity,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Jasmit Kohli,59,logan81@example.net,03827994973,Ceramic Engineering,PhD in Ceramic Engineering; Master's Degree in Material Science,4 years in the glass industry,Ceramic Materials; High-Temperature Materials; Glass Science
Rushil Sinha,38,dhingraoscar@example.com,5336721777,Electronics & Communication Engineering,PhD in Electronics & Communication Engineering; Master's Degree in Electronics Engineering,3 years at a leading telecommunications company,Advanced Communication Systems; Microwave Engineering; Signal Processing Techniques
Wriddhish Wagle,69,hamsinidesai@example.org,+913411234048,Automobile Engineering,PhD in Automobile Engineering; Master's Degree in Automotive Design,4 years at Maruti Suzuki,Automotive Design; Vehicle Dynamics; Internal Combustion Engines
Lopa Anand,55,maharajshaurya@example.com,+910015271979,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,4 years at DRDO in AI and cybersecurity,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Bahadurjit Gupta,59,xsuri@example.org,+918921865034,Aeronautical Engineering,PhD in Aeronautical Engineering; Master's Degree in Aerospace Engineering,7 years at DRDO,Aerodynamics; Aircraft Design; Aerospace Propulsion
Lila Narain,63,sawhneyrohan@example.com,1130276687,Psychology,PhD in Psychology; Master's Degree in Clinical Psychology,7 years at DRDO in cognitive psychology research,Cognitive Behavioral Therapy; Military Psychology; Human Factors Engineering
Jason Butala,43,yogilekha@example.org,04185418622,Psychology,PhD in Psychology; Master's Degree in Clinical Psychology,5 years in military psychology,Cognitive Behavioral Therapy; Military Psychology; Human Factors Engineering
Abha Das,38,reddyronith@example.org,+913518531139,Geology,PhD in Geology; Master's Degree in Applied Geology,9 years at Geological Survey of India,Petroleum Geology; Mineralogy; Geotechnical Engineering
William Parsa,51,sanghakrishna@example.org,3274427903,Ceramic Engineering,PhD in Ceramic Engineering; Master's Degree in Material Science,8 years at DRDO in materials research,Ceramic Materials; High-Temperature Materials; Glass Science
Ria Divan,43,charvi41@example.org,+917728890404,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,7 years at Infosys,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Amol Gokhale,54,manneunnati@example.org,03547009607,Physical Oceanography,PhD in Physical Oceanography; Master's Degree in Marine Science,5 years at DRDO in oceanography research,Ocean Currents; Marine Ecosystems; Coastal Engineering
Nathaniel Kar,42,ltalwar@example.org,+910129670413,Computer Science Engineering,PhD in Computer Science; Master's Degree in Information Technology,7 years at Infosys,Artificial Intelligence and Machine Learning; Cybersecurity; Cloud Computing and Big Data
Gagan Prabhakar,61,qshan@example.com,2722597689,Physical Oceanography,PhD in Physical Oceanography; Master's Degree in Marine Science,5 years at DRDO in oceanography research,Ocean Currents; Marine Ecosystems; Coastal Engineering
